symbol,date,gross_margin,operating_margin,net_margin,pe_ratio,eps_diluted,debt_to_equity,current_ratio,roe,roa,revenue,net_income,total_debt,stockholders_equity,price
GOOGL,2026-03-31,0.6245,0.3612,0.5694,,5.11,0.189,1.9224,0.1307,0.0889,109896000000.0,62578000000.0,90484000000.0,478746000000.0,
GOOGL,2025-12-31,0.5979,0.3157,0.3027,,2.82,0.1428,2.0053,0.083,0.0579,113829000000.0,34455000000.0,59291000000.0,415265000000.0,
GOOGL,2025-09-30,0.5958,0.3051,0.3418,,2.87,0.0871,1.7473,0.0904,0.0652,102346000000.0,34979000000.0,33713000000.0,386867000000.0,
GOOGL,2025-06-30,0.5951,0.3243,0.2924,,2.31,0.098,1.9037,0.0777,0.0562,96428000000.0,28196000000.0,35559000000.0,362916000000.0,
GOOGL,2025-03-31,0.597,0.3392,0.3828,,2.81,0.0682,1.7681,0.1,0.0727,90234000000.0,34540000000.0,23564000000.0,345267000000.0,
GOOGL,2024-12-31,,,,,,,,,,,,,,
AMZN,2026-03-31,0.5182,0.1314,0.1667,,2.78,0.475,1.1772,0.0685,0.033,181519000000.0,30255000000.0,209888000000.0,441914000000.0,
AMZN,2025-12-31,0.4847,0.1171,0.0993,,1.95,0.3722,1.0508,0.0516,0.0259,213386000000.0,21192000000.0,152987000000.0,411065000000.0,
AMZN,2025-09-30,0.5079,0.0967,0.1176,,1.95,0.3664,1.0086,0.0573,0.0291,180169000000.0,21187000000.0,135419000000.0,369631000000.0,
AMZN,2025-06-30,0.5181,0.1143,0.1083,,1.68,0.4013,1.0241,0.0544,0.0266,167702000000.0,18164000000.0,133939000000.0,333775000000.0,
AMZN,2025-03-31,0.5055,0.1182,0.11,,1.59,0.4356,1.0481,0.056,0.0266,155667000000.0,17127000000.0,133245000000.0,305867000000.0,
NVDA,2026-04-30,0.7493,0.656,0.7146,,2.39,0.0632,3.4408,0.2984,0.2248,81615000000.0,58321000000.0,12348000000.0,195474000000.0,
NVDA,2026-01-31,0.75,0.6502,0.6306,,1.76,0.0702,3.9053,0.2731,0.2077,68127000000.0,42960000000.0,11040000000.0,157293000000.0,
NVDA,2025-10-31,0.7341,0.6317,0.5598,,1.3,0.0882,4.4676,0.2684,0.198,57006000000.0,31910000000.0,10481000000.0,118897000000.0,
NVDA,2025-07-31,0.7242,0.6084,0.5653,,1.08,0.1058,4.214,0.2639,0.1877,46743000000.0,26422000000.0,10598000000.0,100131000000.0,
NVDA,2025-04-30,0.6052,0.4911,0.4261,,0.76,0.1227,3.3884,0.2239,0.1499,44062000000.0,18775000000.0,10285000000.0,83843000000.0,
META,2026-03-31,0.8185,0.4062,0.4754,,10.44,0.3561,2.3478,0.1099,0.0677,56311000000.0,26773000000.0,86769000000.0,243681000000.0,
META,2025-12-31,0.8179,0.4132,0.3801,,8.88,0.3862,2.5988,0.1048,0.0622,59893000000.0,22768000000.0,83897000000.0,217243000000.0,
META,2025-09-30,0.8203,0.4007,0.0529,,1.05,0.2631,1.9784,0.014,0.0089,51242000000.0,2709000000.0,51060000000.0,194066000000.0,
META,2025-06-30,0.8213,0.4302,0.3859,,7.14,0.2541,1.9733,0.094,0.0622,47516000000.0,18337000000.0,49560000000.0,195070000000.0,
META,2025-03-31,0.8211,0.4149,0.3933,,6.43,0.2676,2.6623,0.09,0.0594,42314000000.0,16644000000.0,49519000000.0,185029000000.0,
META,2024-12-31,,,,,,,,,,,,,,
TSLA,2026-03-31,0.2108,0.042,0.0213,,0.13,0.1889,2.0431,0.0057,0.0033,22387000000.0,477000000.0,15890000000.0,84116000000.0,
TSLA,2025-12-31,0.2012,0.0631,0.0337,,0.24,0.1792,2.1644,0.0102,0.0061,24901000000.0,840000000.0,14719000000.0,82137000000.0,
TSLA,2025-09-30,0.1799,0.0663,0.0489,,0.39,0.1724,2.0663,0.0172,0.0103,28095000000.0,1373000000.0,13788000000.0,79970000000.0,
TSLA,2025-06-30,0.1724,0.041,0.0521,,0.33,0.1699,2.0372,0.0152,0.0091,22496000000.0,1172000000.0,13134000000.0,77314000000.0,
TSLA,2025-03-31,0.1631,0.0255,0.0212,,0.12,0.1759,1.9961,0.0055,0.0033,19335000000.0,409000000.0,13128000000.0,74653000000.0,
TSLA,2024-12-31,,,,,,,,,,,,,,
